ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
2248,Barack Obama Elementary School,f,f,f,t,PYP,2801052,Barack Obama Elementary School,Jackson,MS 
2248,Barack Obama Elementary School,f,f,f,t,PYP,3601156,BARACK OBAMA ELEMENTARY SCHOOL,HEMPSTEAD,NY 
2248,Barack Obama Elementary School,f,f,f,t,PYP,2903189,BARACK OBAMA ELEMENTARY SCHOOL,ST. LOUIS,MO 
1131,Barry Goldwater High School,t,t,t,f,"MYP, DP, CP",0401331,Barry Goldwater High School,PHOENIX,AZ 
50613,Basic Academy of International Studies,t,t,t,f,"MYP, DP, CP",,,,
6532,Bay Port High School,t,f,f,f,DP,,,,
3928,Bay Shore High School,t,f,f,f,DP,,,,
50937,Beacon Academy,t,f,f,f,DP,3905871,Beacon Academy,Canton,OH 
50937,Beacon Academy,t,f,f,f,DP,2102410,Beacon Academy,Bowling Green,KY 
50937,Beacon Academy,t,f,f,f,DP,2704110,BEACON ACADEMY,CRYSTAL,MN 
4082,Beacon Hill Middle School,f,f,t,f,MYP,1300796,Beacon Hill Middle School,Decatur,GA 
50942,Bearden Middle School,f,f,t,f,MYP,4700770,Bearden Middle School,Knoxville,TN 
51012,Beaumont School,t,f,f,f,DP,,,,
3321,Bedford High School,t,f,f,f,DP,3300680,Bedford High School,Bedford,NH 
3321,Bedford High School,t,f,f,f,DP,1900120,Bedford High School,Bedford,IA 
3321,Bedford High School,t,f,f,f,DP,3900127,Bedford High School,Bedford,OH 
4104,Beecher Hills Elementary School,f,f,f,t,PYP,1300118,Beecher Hills Elementary School,Atlanta,GA 
3124,Beechwood School,f,f,t,f,MYP,3400527,Beechwood School,MOUNTAINSIDE,NJ 
60012,BELA Charter School,t,f,t,f,"MYP, DP",,,,
49146,Bel Aire Park Magnet School,f,f,f,t,PYP,,,,
61153,Belding School,f,f,t,f,MYP,,,,
139,Bellaire High School,t,f,f,f,DP,3900135,Bellaire High School,Bellaire,OH 
51663,Bellevue Children's Academy,f,f,f,t,PYP,,,,
2568,Bellevue Middle School,f,f,t,f,MYP,3900151,Bellevue Middle School,Bellevue,OH 
50302,Belvedere Elementary School,f,f,f,t,PYP,1201501,BELVEDERE ELEMENTARY SCHOOL,WEST PALM BEACH,FL 
50302,Belvedere Elementary School,f,f,f,t,PYP,3101353,BELVEDERE ELEMENTARY SCHOOL,OMAHA,NE 
6208,Bend Senior High School,t,f,f,f,DP,4100270,Bend Senior High School,Bend,OR 
50203,Benito Juarez Community Academy,t,f,t,f,"MYP, DP",,,,
1318,Benjamin A Banneker Academic High School,t,f,f,f,DP,,,,
60237,Benjamin E. Mays High School,t,t,t,f,"MYP, DP, CP",1301865,Benjamin E. Mays High School,Atlanta,GA 
2428,Benjamin E. Mays International Magnet School,f,f,f,t,PYP,,,,
6091,Benjamin Franklin Elementary School,f,f,f,t,PYP,3401624,Benjamin Franklin Elementary School,PENNSAUKEN,NJ 
6091,Benjamin Franklin Elementary School,f,f,f,t,PYP,3600223,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,BINGHAMTON,NY 
6091,Benjamin Franklin Elementary School,f,f,f,t,PYP,3601471,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,YORKTOWN HEIGHTS,NY 
6091,Benjamin Franklin Elementary School,f,f,f,t,PYP,3403336,Benjamin Franklin Elementary School,EDISON,NJ 
1351,Benjamin H Hardaway High School,t,t,t,f,"MYP, DP, CP",,,,
64125,"Benjamin O. Davis, Jr. Senior High School",f,f,t,f,MYP,,,,
1500,Ben L. Smith High School,t,f,f,f,DP,3700798,Ben L. Smith High School,Greensboro,NC 
2037,Bennett Elementary School,f,f,f,t,PYP,1900134,Bennett Elementary School,Bennett,IA 
2037,Bennett Elementary School,f,f,f,t,PYP,0800521,Bennett Elementary School,FORT COLLINS,CO 
2037,Bennett Elementary School,f,f,f,t,PYP,0800091,Bennett Elementary School,BENNETT,CO 
2037,Bennett Elementary School,f,f,f,t,PYP,2604650,Bennett Elementary School,DETROIT,MI 
2037,Bennett Elementary School,f,f,f,t,PYP,3800160,BENNETT ELEMENTARY SCHOOL,Fargo,ND 
2037,Bennett Elementary School,f,f,f,t,PYP,5300062,Bennett Elementary School,Bellevue,WA 
2037,Bennett Elementary School,f,f,f,t,PYP,1200156,BENNETT ELEMENTARY SCHOOL,FORT LAUDERDALE,FL 
60225,Benteen Elementary School,f,f,f,t,PYP,1300073,Benteen Elementary School,Atlanta,GA 
